name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,windSpeed,windDirection,shortForecast,detailedForecast,probabilityOfPrecipitation,dewpoint,relativeHumidity,date,Year,Month,Day,Hour,Date_Created,Unnamed: 0
Thanksgiving Day,2023-11-23 16:00:00-06:00,2023-11-23 18:00:00-06:00,True,46,F,falling,10 mph,N,Partly Sunny,"Partly sunny. High near 46, with temperatures falling to around 41 in the afternoon. North wind around 10 mph, with gusts as high as 20 mph.",,-1.1111111111111112,62,2023-11-23,2023,11,23,16,2023-11-23 17:18:56,0.0
Tonight,2023-11-23 18:00:00-06:00,2023-11-24 06:00:00-06:00,False,28,F,,10 mph,N,Mostly Cloudy,"Mostly cloudy, with a low around 28. North wind around 10 mph, with gusts as high as 20 mph.",,-2.2222222222222223,72,2023-11-23,2023,11,23,18,2023-11-23 17:18:56,1.0
Friday,2023-11-24 06:00:00-06:00,2023-11-24 18:00:00-06:00,True,35,F,falling,10 to 15 mph,N,Partly Sunny,"Partly sunny. High near 35, with temperatures falling to around 32 in the afternoon. North wind 10 to 15 mph.",,-6.666666666666667,66,2023-11-24,2023,11,24,6,2023-11-23 17:18:56,2.0
Friday Night,2023-11-24 18:00:00-06:00,2023-11-25 06:00:00-06:00,False,27,F,,5 to 10 mph,NW,Mostly Cloudy,"Mostly cloudy, with a low around 27. Northwest wind 5 to 10 mph.",,-6.666666666666667,68,2023-11-24,2023,11,24,18,2023-11-23 17:18:56,3.0
Saturday,2023-11-25 06:00:00-06:00,2023-11-25 18:00:00-06:00,True,38,F,,5 mph,WSW,Mostly Cloudy,"Mostly cloudy, with a high near 38. West southwest wind around 5 mph.",,-5.0,66,2023-11-25,2023,11,25,6,2023-11-23 17:18:56,4.0
Saturday Night,2023-11-25 18:00:00-06:00,2023-11-26 06:00:00-06:00,False,28,F,,5 mph,SW,Mostly Cloudy then Chance Snow,"A chance of snow after midnight. Mostly cloudy, with a low around 28. Chance of precipitation is 40%. New snow accumulation of less than half an inch possible.",40.0,-4.444444444444445,78,2023-11-25,2023,11,25,18,2023-11-23 17:18:56,5.0
Sunday,2023-11-26 06:00:00-06:00,2023-11-26 18:00:00-06:00,True,37,F,,5 to 15 mph,WSW,Snow Likely,"Snow likely. Cloudy, with a high near 37. Chance of precipitation is 70%. New snow accumulation of less than one inch possible.",70.0,-1.1111111111111112,85,2023-11-26,2023,11,26,6,2023-11-23 17:18:56,6.0
Sunday Night,2023-11-26 18:00:00-06:00,2023-11-27 06:00:00-06:00,False,22,F,,20 mph,W,Mostly Cloudy,"Mostly cloudy, with a low around 22.",,-2.2222222222222223,82,2023-11-26,2023,11,26,18,2023-11-23 17:18:56,7.0
Monday,2023-11-27 06:00:00-06:00,2023-11-27 18:00:00-06:00,True,31,F,,15 to 20 mph,W,Mostly Sunny,"Mostly sunny, with a high near 31.",,-8.88888888888889,71,2023-11-27,2023,11,27,6,2023-11-23 17:18:56,8.0
Monday Night,2023-11-27 18:00:00-06:00,2023-11-28 06:00:00-06:00,False,20,F,,15 mph,W,Partly Cloudy,"Partly cloudy, with a low around 20.",,-8.88888888888889,74,2023-11-27,2023,11,27,18,2023-11-23 17:18:56,9.0
Tuesday,2023-11-28 06:00:00-06:00,2023-11-28 18:00:00-06:00,True,34,F,,15 mph,W,Mostly Sunny,"Mostly sunny, with a high near 34.",,-8.333333333333334,74,2023-11-28,2023,11,28,06,2023-11-23 17:33:39,
Tuesday Night,2023-11-28 18:00:00-06:00,2023-11-29 06:00:00-06:00,False,25,F,,15 mph,WSW,Mostly Cloudy,"Mostly cloudy, with a low around 25.",,-6.666666666666667,74,2023-11-28,2023,11,28,18,2023-11-23 17:33:39,
Wednesday,2023-11-29 06:00:00-06:00,2023-11-29 18:00:00-06:00,True,39,F,,15 mph,WSW,Mostly Sunny,"Mostly sunny, with a high near 39.",,-3.888888888888889,75,2023-11-29,2023,11,29,06,2023-11-23 17:33:39,
Wednesday Night,2023-11-29 18:00:00-06:00,2023-11-30 06:00:00-06:00,False,26,F,,15 mph,W,Partly Cloudy,"Partly cloudy, with a low around 26.",,-3.888888888888889,88,2023-11-29,2023,11,29,18,2023-11-23 17:33:39,
